trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-70.6710122751429,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-114.21068380177456,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-115.40452725725814,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-177.32520820217434,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-85.08971328290363,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,4,-111.25690120817784,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-167.85282202953903,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-128.2377114742563,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-70.02512380993964,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,10,-55.564346451122375,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,5,-51.2496440394383,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-88.14321156903269,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-75.87968755820305,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-40.1366451999948,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-26.288467131227435,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-163.84147151124233,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,16,-12.340632448807417,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-141.0229285050935,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-181.44909611253058,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-93.58500456283215,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,15,9.18422284524881,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.90521166515538,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-141.95030051139932,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-196.29721203889386,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-159.7992116955534,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-99.2673135199047,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-139.21831462870313,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-173.60975471745775,"{0: 14, 1: 7, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-158.2214129084784,"{0: 21, 1: 6, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-46.53281260062678,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
