trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.015, 'e': 0.9851119396030626}",30,0,-118.09103862409822,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.015, 'e': 0.9704455335485082}",20,0,-112.9867207465764,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.015, 'e': 0.9559974818331}",25,0,-202.29991674519164,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.015, 'e': 0.9417645335842487}",30,0,-180.24833658325346,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.015, 'e': 0.9277434863285529}",30,0,-121.88716318302961,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.015, 'e': 0.9139311852712282}",20,0,-172.24518480188064,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.015, 'e': 0.9003245225862656}",35,0,-171.41980037431088,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.015, 'e': 0.8869204367171575}",20,0,-98.93564034426495,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.015, 'e': 0.8737159116880344}",30,0,-143.0867464718488,"{0: 20, 1: 5, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.015, 'e': 0.8607079764250578}",20,0,-130.1474738640112,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.015, 'e': 0.8478937040879159}",30,0,-317.06310946375737,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 6}",0
12,False,"{'a': 0.015, 'e': 0.835270211411272}",20,0,-32.61942273211796,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.015, 'e': 0.8228346580560184}",25,0,-76.12024115872333,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.015, 'e': 0.8105842459701871}",30,11,12.63943434978264,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.015, 'e': 0.7985162187593771}",30,6,-45.67148912935948,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.015, 'e': 0.7866278610665535}",35,15,-22.295155796083904,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.015, 'e': 0.774916497961081}",20,0,-107.46121654159109,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.015, 'e': 0.7633794943368531}",20,0,-42.42801731671273,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.015, 'e': 0.7520142543193826}",30,0,-58.82308279926269,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.015, 'e': 0.7408182206817179}",20,0,-69.5585936306885,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.015, 'e': 0.7297888742690568}",30,0,-183.3960922678924,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
22,False,"{'a': 0.015, 'e': 0.7189237334319262}",20,0,3.0454646100524503,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.015, 'e': 0.7082203534678}",20,0,-84.2662370650836,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
24,False,"{'a': 0.015, 'e': 0.697676326071031}",30,0,-132.59085689528496,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
25,False,"{'a': 0.015, 'e': 0.6872892787909722}",20,0,-145.8653917606497,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
26,False,"{'a': 0.015, 'e': 0.6770568744981647}",20,0,-45.78945888917929,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.015, 'e': 0.6669768108584744}",20,1,-67.83692740354904,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
28,False,"{'a': 0.015, 'e': 0.6570468198150567}",20,0,-10.772684438721559,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.015, 'e': 0.6472646670780347}",25,3,-173.0472376219084,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 3}",1
